Symbol,DateTime,Open,High,Low,Close,Volume
SPY,2024-01-01 09:30:00,499.27,500.80,498.46,500.63,881090
SPY,2024-01-01 10:30:00,500.17,501.36,499.90,501.19,120211
SPY,2024-01-01 11:30:00,502.23,503.79,502.00,503.08,2015870
SPY,2024-01-01 12:30:00,503.24,504.94,502.36,504.30,3506701
SPY,2024-01-01 13:30:00,503.48,504.01,501.78,502.29,282154
SPY,2024-01-01 14:30:00,502.06,502.71,500.68,502.43,3452087
SPY,2024-01-01 15:30:00,503.73,505.41,502.88,504.49,2401599
SPY,2024-01-01 16:30:00,504.44,505.43,502.85,504.48,4127746
SPY,2024-01-01 17:30:00,503.24,504.91,503.13,503.63,2686554
SPY,2024-01-01 18:30:00,502.14,502.20,501.44,501.60,2327677
SPY,2024-01-01 19:30:00,502.04,503.55,501.13,501.48,2133783
SPY,2024-01-01 20:30:00,501.16,502.15,500.73,500.87,316825
SPY,2024-01-01 21:30:00,501.75,503.47,500.18,502.45,1631887
SPY,2024-01-01 22:30:00,502.73,503.21,501.72,502.98,1159087
SPY,2024-01-01 23:30:00,503.33,505.08,501.42,503.88,2545045
SPY,2024-01-02 00:30:00,503.46,504.52,503.02,503.77,3020545
SPY,2024-01-02 01:30:00,505.20,507.04,504.40,505.21,1634028
SPY,2024-01-02 02:30:00,504.48,504.58,504.32,504.34,1421102
SPY,2024-01-02 03:30:00,505.43,506.88,505.39,505.68,3963976
SPY,2024-01-02 04:30:00,504.76,506.01,503.21,504.34,879506
SPY,2024-01-02 05:30:00,504.31,505.16,503.71,504.78,4652606
SPY,2024-01-02 06:30:00,504.07,505.15,503.97,504.75,1276672
SPY,2024-01-02 07:30:00,503.44,504.63,502.42,502.94,1509036
SPY,2024-01-02 08:30:00,502.54,504.46,502.05,503.02,1507486
SPY,2024-01-02 09:30:00,503.02,504.76,502.57,502.60,2377045
SPY,2024-01-02 10:30:00,501.62,501.66,501.26,501.63,330268
SPY,2024-01-02 11:30:00,502.63,503.47,501.29,502.54,106227
SPY,2024-01-02 12:30:00,502.28,502.97,500.83,500.99,865110
SPY,2024-01-02 13:30:00,500.51,500.84,499.79,500.51,1511599
SPY,2024-01-02 14:30:00,501.84,503.21,501.06,501.40,212742
SPY,2024-01-02 15:30:00,501.21,502.30,500.37,501.57,981637
SPY,2024-01-02 16:30:00,501.52,503.35,500.68,503.13,3332957
SPY,2024-01-02 17:30:00,502.96,504.03,501.71,503.45,3981081
SPY,2024-01-02 18:30:00,503.18,504.47,502.32,503.08,227357
SPY,2024-01-02 19:30:00,501.74,502.44,499.82,502.21,105802
SPY,2024-01-02 20:30:00,503.36,504.40,502.46,503.73,2665040
SPY,2024-01-02 21:30:00,505.19,505.39,504.54,504.76,1306910
SPY,2024-01-02 22:30:00,506.03,507.11,505.85,506.85,527402
SPY,2024-01-02 23:30:00,508.23,508.49,508.18,508.26,1994330
SPY,2024-01-03 00:30:00,508.44,509.30,507.92,508.58,2263372
SPY,2024-01-03 01:30:00,507.82,509.53,507.10,509.21,2145595
SPY,2024-01-03 02:30:00,508.63,510.00,508.39,509.15,4500576
SPY,2024-01-03 03:30:00,510.59,511.43,510.52,511.07,4735687
SPY,2024-01-03 04:30:00,509.97,510.35,508.88,509.04,214482
SPY,2024-01-03 05:30:00,507.60,507.94,506.85,507.89,3668752
SPY,2024-01-03 06:30:00,508.34,509.61,507.48,508.10,4286739
SPY,2024-01-03 07:30:00,508.73,509.47,507.93,508.33,1110149
SPY,2024-01-03 08:30:00,508.57,510.19,508.32,508.51,3351174
SPY,2024-01-03 09:30:00,508.66,508.86,508.23,508.44,157780
SPY,2024-01-03 10:30:00,509.48,510.42,508.04,509.43,2977295
SPY,2024-01-03 11:30:00,510.11,510.35,508.98,509.67,4323195
SPY,2024-01-03 12:30:00,508.19,508.50,506.81,507.25,4076480
SPY,2024-01-03 13:30:00,508.36,510.25,506.50,509.36,2345561
SPY,2024-01-03 14:30:00,509.48,510.11,509.47,509.76,4440482
SPY,2024-01-03 15:30:00,509.51,509.78,508.74,509.44,1951671
SPY,2024-01-03 16:30:00,508.52,508.66,508.19,508.48,643415
SPY,2024-01-03 17:30:00,507.39,508.01,506.54,507.24,2423263
SPY,2024-01-03 18:30:00,506.73,508.70,505.58,507.94,2412641
SPY,2024-01-03 19:30:00,506.80,508.41,506.39,508.28,2653335
SPY,2024-01-03 20:30:00,508.77,510.01,508.06,508.88,877293
SPY,2024-01-03 21:30:00,510.01,511.65,509.67,510.65,1519085
SPY,2024-01-03 22:30:00,509.54,511.05,509.49,509.81,204908
SPY,2024-01-03 23:30:00,510.29,511.42,509.37,510.23,2453938
SPY,2024-01-04 00:30:00,509.20,510.19,507.86,509.69,4475265
SPY,2024-01-04 01:30:00,511.04,511.27,510.24,510.88,3133491
SPY,2024-01-04 02:30:00,510.79,511.66,510.32,511.31,1976173
SPY,2024-01-04 03:30:00,511.70,513.49,511.51,511.54,4883276
SPY,2024-01-04 04:30:00,512.30,512.87,511.62,512.62,1531421
SPY,2024-01-04 05:30:00,514.10,514.45,513.09,513.42,2126533
SPY,2024-01-04 06:30:00,512.75,514.51,511.59,513.27,3785081
SPY,2024-01-04 07:30:00,514.13,515.76,512.74,512.88,796955
SPY,2024-01-04 08:30:00,511.99,512.22,511.20,511.45,1073609
SPY,2024-01-04 09:30:00,512.82,512.90,512.18,512.65,4494190
SPY,2024-01-04 10:30:00,514.00,514.96,512.85,513.05,1968151
SPY,2024-01-04 11:30:00,512.11,512.22,511.67,511.89,1114647
SPY,2024-01-04 12:30:00,511.35,512.06,510.25,511.82,2805043
SPY,2024-01-04 13:30:00,512.84,514.73,512.48,514.30,4340036
SPY,2024-01-04 14:30:00,513.79,515.05,511.91,513.34,2584123
SPY,2024-01-04 15:30:00,513.06,513.30,511.12,512.51,4467103
